Unnamed: 0,EQ Datetime,EQ Depth,EQ Distance,EQ Es,EQ Id,EQ Latitude,EQ Longitude,EQ Magnitude,Station ID
0,2014-01-14 19:50:05,11.22,116.046,7.4167,62958,22.9166,121.162,4.5,840
0,2014-01-22 16:28:37,23.21,23.3875,8.2143,60141,23.7114,121.444,4.3,840
0,2014-01-23 22:51:30,71.4,147.743,7.71983,59920,24.55,122.82,4.9,840
0,2014-01-25 03:16:10,9.68,20.9234,8.8245,59151,23.7096,121.54,4.5,840
0,2014-01-29 02:14:51,23.4,74.5067,7.46475,57838,23.24,121.41,4.3,840
0,2013-04-20 23:09:38,10,104.346,7.50908,136188,21.897,121.511,4.5,841
0,2013-06-01 20:32:22,35,90.4345,7.87671,124613,21.989,121.403,4.7,841
0,2013-06-02 05:43:03,17,117.428,9.95145,124232,23.794,121.133,6.2,841
0,2013-07-14 19:24:29,12.74,29.6773,8.5317,113818,22.9929,120.973,4.5,841
0,2014-08-24 10:20:44,11.3,24.4852,10.9383,2708,38.2202,-122.313,6,854
0,2014-08-24 10:24:44,10.5,20.8131,7.31485,2710,38.2588,-122.343,3.5,854
0,2014-08-24 12:47:12,8.5,20.9382,7.49187,2778,38.238,-122.348,3.6,854
0,2014-08-26 12:33:16,12.3,27.2839,7.69784,2307,38.1782,-122.302,3.9,854
0,2013-03-11 16:56:06,13.1,21.5025,9.04793,147466,33.5025,-116.457,4.7,869
0,2014-08-24 10:20:44,11.3,20.7149,11.0543,2708,38.2202,-122.313,6,870
0,2014-08-24 12:47:12,8.5,24.3775,7.37619,2778,38.238,-122.348,3.6,870
0,2014-08-26 12:33:16,12.3,17.7918,7.97991,2307,38.1782,-122.302,3.9,870
0,2014-08-24 10:20:44,11.3,14.6737,11.2647,2708,38.2202,-122.313,6,871
0,2014-08-24 10:24:44,10.5,12.1679,7.63786,2710,38.2588,-122.343,3.5,871
0,2014-08-24 12:47:12,8.5,14.2936,7.75821,2778,38.238,-122.348,3.6,871
0,2014-08-26 12:33:16,12.3,18.9049,7.94355,2307,38.1782,-122.302,3.9,871
0,2012-06-08 03:23:58,1.2,0.777473,8.38942,168939,33.177,-115.618,2.6,880
0,2012-07-01 03:25:20,8,112.583,7.59487,167902,32.205,-115.3,4.6,880
0,2012-07-01 06:36:07,8,113.566,7.73736,167911,32.193,-115.313,4.7,880
0,2012-08-26 17:02:12,13.2,18.7804,7.77824,165371,33.019,-115.563,3.8,880
0,2012-08-26 19:16:11,10.6,19.1457,8.11974,165387,33.019,-115.549,4,880
0,2012-08-26 19:20:04,13.1,19.265,8.9654,165388,33.019,-115.545,4.6,880
0,2012-08-26 19:21:04,11,20.4042,7.91976,165389,33.005,-115.558,3.9,880
0,2012-08-26 19:31:22,12.3,19.2346,10.1829,165391,33.019,-115.546,5.4,880
0,2012-08-26 19:33:00,14.5,18.793,9.39916,165392,33.021,-115.554,4.9,880
0,2012-08-26 19:33:59,1.7,20.2679,7.43334,165393,33.003,-115.576,3.5,880
0,2012-08-26 19:40:12,9.7,21.8026,8.49455,165395,32.987,-115.597,4.3,880
0,2012-08-26 19:58:17,8.8,19.0863,7.55485,165400,33.021,-115.544,3.6,880
0,2012-08-26 20:20:24,3.8,19.1294,7.46979,165404,33.02,-115.546,3.5,880
0,2012-08-26 20:57:58,9,18.6181,10.4189,165408,33.024,-115.549,5.5,880
0,2012-08-26 21:15:29,4.7,17.7477,8.42228,165412,33.037,-115.535,4.1,880
0,2012-08-26 21:23:23,4.2,21.5145,7.51829,165414,32.991,-115.581,3.6,880
0,2012-08-26 21:26:39,7.8,18.6741,7.88768,165415,33.029,-115.532,3.8,880
0,2012-08-26 22:06:28,4,19.7158,7.29285,165422,33.015,-115.544,3.4,880
0,2012-08-26 22:34:45,10.5,21.1666,7.30315,165428,32.993,-115.593,3.5,880
0,2012-08-26 22:58:41,4.7,21.7655,8.55467,165434,32.988,-115.588,4.3,880
0,2012-08-26 23:33:25,12.2,18.0366,9.02408,165442,33.039,-115.523,4.6,880
0,2012-08-27 04:41:37,4.1,19.9913,9.53042,165231,33.021,-115.519,4.9,880
0,2012-08-27 06:31:28,4.7,17.2441,7.3956,165255,33.044,-115.53,3.4,880
0,2012-08-27 17:47:51,9.2,19.884,7.66875,165299,33.008,-115.567,3.7,880
0,2012-08-28 02:01:19,4.4,20.2801,8.46588,165140,33.004,-115.569,4.2,880
0,2012-08-28 08:54:15,9.8,23.3089,7.24426,165161,32.973,-115.611,3.5,880
0,2012-08-31 13:56:02,10.3,19.697,7.35622,164835,33.017,-115.538,3.5,880
0,2014-01-15 09:35:18,3.56,43.1705,8.17168,62411,34.143,-117.442,4.43,881
0,2014-01-16 07:40:06,10.36,16.5545,7.66364,62027,33.8293,-117.687,3.63,881
0,2014-03-17 13:25:36,9.88,65.1194,7.7477,43511,34.1347,-118.486,4.39,881
0,2014-03-29 03:03:39,7.46,9.84765,7.97137,39572,33.9253,-117.934,3.57,881
0,2014-03-29 04:09:42,4.77,8.34064,10.4847,39586,33.9325,-117.917,5.1,881
0,2014-03-29 04:11:53,2.18,9.61164,7.61262,39590,33.92,-117.932,3.2,881
0,2014-03-29 04:30:51,4.1,9.59955,8.22273,39605,33.9162,-117.931,3.64,881
0,2014-03-29 04:45:37,1.39,6.75676,7.06752,39615,33.9383,-117.898,2.63,881
0,2014-03-29 05:37:14,4.28,6.71869,7.61751,39631,33.9225,-117.9,3.08,881
0,2014-03-29 16:02:06,3.84,11.9475,7.73275,39826,33.9038,-117.955,3.42,881
0,2014-03-29 21:32:45,9.42,7.41978,8.85227,39902,33.9613,-117.892,4.14,881
0,2014-03-30 05:51:22,1.79,11.4489,7.62198,39228,33.903,-117.95,3.3,881
0,2014-03-30 06:17:31,1.75,11.1773,7.37281,39238,33.908,-117.948,3.12,881
0,2014-01-15 09:35:18,3.56,53.3183,7.98932,62411,34.143,-117.442,4.43,885
0,2014-03-17 13:25:36,9.88,48.2518,8.00014,43511,34.1347,-118.486,4.39,885
0,2014-03-29 03:03:39,7.46,9.02456,8.01798,39572,33.9253,-117.934,3.57,885
0,2014-03-29 04:09:42,4.77,9.46991,10.3991,39586,33.9325,-117.917,5.1,885
0,2014-03-29 04:11:53,2.18,9.64162,7.61005,39590,33.92,-117.932,3.2,885
0,2014-03-29 04:30:51,4.1,10.0111,8.19169,39605,33.9162,-117.931,3.64,885
0,2014-03-29 05:37:14,4.28,11.3536,7.25203,39631,33.9225,-117.9,3.08,885
0,2014-03-29 10:31:51,0.9,9.91799,7.00359,39753,33.9112,-117.944,2.8,885
0,2014-03-29 16:02:06,3.84,10.2654,7.85037,39826,33.9038,-117.955,3.42,885
0,2014-03-29 21:32:45,9.42,9.72648,8.74674,39902,33.9613,-117.892,4.14,885
0,2014-03-30 05:51:22,1.79,10.534,7.69245,39228,33.903,-117.95,3.3,885
0,2014-03-30 06:17:31,1.75,10.0919,7.45919,39238,33.908,-117.948,3.12,885
0,2014-04-01 18:30:44,3.97,9.73303,7.18167,38759,33.9105,-117.95,2.95,885
0,2014-01-15 09:35:18,3.56,27.9884,8.54407,62411,34.143,-117.442,4.43,888
0,2014-03-17 13:25:36,9.88,68.0804,7.7099,43511,34.1347,-118.486,4.39,888
0,2014-03-29 04:09:42,4.77,29.1422,9.50947,39586,33.9325,-117.917,5.1,888
0,2014-03-29 04:30:51,4.1,31.3851,7.2592,39605,33.9162,-117.931,3.64,888
0,2014-03-29 21:32:45,9.42,25.2161,8.14991,39902,33.9613,-117.892,4.14,888
0,2014-01-12 20:24:46,2.6,28.2474,8.64438,63634,38.8135,-122.816,4.5,913
0,2014-01-21 11:11:11,2.5,24.938,7.55193,60354,38.8393,-122.838,3.7,913
0,2013-05-18 13:46:08,23.6,47.6756,7.79823,128562,40.2858,-124.46,4.3,932
0,2013-08-03 02:25:49,20.5,24.367,8.54396,108499,40.8082,-124.402,4.5,932
0,2014-01-15 09:35:18,3.56,50.2687,8.04023,62411,34.143,-117.442,4.43,938
0,2014-03-17 13:25:36,9.88,45.8943,8.04181,43511,34.1347,-118.486,4.39,938
0,2014-03-29 03:03:39,7.46,26.8686,7.26426,39572,33.9253,-117.934,3.57,938
0,2014-03-29 04:09:42,4.77,26.4337,9.59177,39586,33.9325,-117.917,5.1,938
0,2014-03-29 04:30:51,4.1,27.9187,7.35894,39605,33.9162,-117.931,3.64,938
0,2014-03-29 21:32:45,9.42,24.0794,8.18486,39902,33.9613,-117.892,4.14,938
0,2015-01-16 19:12:15,32.94,129.787,8.04578,6821383,24.4664,121.969,5,965
0,2015-02-13 20:06:31,24.31,139.933,9.79524,9149625,22.6207,121.425,5.9,965
0,2015-03-23 10:13:50,31.04,76.7293,9.81425,10889170,23.6974,121.679,5.9,965
0,2015-04-13 17:13:57,21.91,20.6377,8.59289,12496105,23.9202,121.082,4.5,965
0,2015-04-20 01:42:58,29,148.414,10.0408,12781199,24.1935,122.327,6.4,965
0,2015-04-20 11:20:46,34.22,73.8433,8.77889,12799519,23.6234,121.633,5.2,965
