,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
508,841,2012-08-03 22:43:42.670000,3586193,120.7539,22.8677,16.7,34.909496,3.9,7.474615
509,841,2013-02-19 06:52:39.500000,3136780,120.6123,22.9117,15.9659,50.172018,4.07,7.462185
510,841,2012-08-03 22:43:42.670000,3586194,120.7539,22.8677,16.6786,34.909496,3.89,7.459822
511,841,2012-12-22 03:24:35.369800,3269950,121.5833,22.0255,16.3,95.651865,4.4,7.426181
512,841,2012-12-24 03:17:51.899800,3265788,121.32,22.55,61.0,33.624888,4.2,7.414112
513,841,2012-11-29 03:12:52.670000,3317365,121.2692,22.6848,94.5565,21.827249,4.39,7.411071
514,841,2012-09-08 12:39:15.579900,3502602,121.4361,22.6083,10.5,40.793617,3.9,7.400956
515,841,2012-08-11 20:36:59.799900,3569017,120.9884,22.9788,11.3,27.707854,3.7,7.397976
516,841,2012-08-11 20:23:37.960000,3568993,120.9783,22.9761,11.3,27.733724,3.7,7.39728
517,841,2012-08-11 20:23:37.960000,3568994,120.9783,22.9761,11.3035,27.733724,3.66,7.337242
518,841,2012-11-29 18:29:40.890000,3318569,121.0609,22.6024,11.9,15.284184,3.4,7.325718
519,841,2012-04-27 21:08:18.420000,3830310,120.743,22.7265,24.8893,33.048884,3.83,7.311571
520,841,2012-12-24 03:17:51.990000,3265789,121.2737,22.5122,71.4,33.161258,4.2,7.307774
521,841,2013-03-20 06:05:52.939800,3062359,120.845,22.653,8.58,24.539012,3.55,7.295195
522,841,2012-08-17 11:57:29.809900,3554092,121.1445,22.4477,4.0,33.492027,3.7,7.293966
523,841,2012-11-12 15:48:38.640000,3355940,120.9762,22.8686,17.2,16.965294,3.5,7.283839
524,841,2012-04-27 21:08:18.420000,3830309,120.743,22.7265,24.9,33.048884,3.8,7.266436
525,841,2012-08-29 14:24:15.099900,3526058,121.5473,22.9511,13.9453,54.729699,3.97,7.251235
526,841,2012-11-29 18:29:40.890000,3318570,121.0609,22.6024,11.9399,15.284184,3.35,7.249619
527,841,2013-03-20 06:05:52.939800,3062358,120.845,22.653,8.6,24.539012,3.5,7.219974
528,841,2012-12-24 03:17:51.990000,3265790,121.2737,22.5122,71.4366,33.161258,4.14,7.217408
