,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
175,840,2013-07-24 14:47:04.940000,2745780,121.6,23.872,11.3,5.750676,5.0,10.093821
176,840,2013-07-24 14:47:06.000000,2745781,121.5708,23.8859,13.0,2.408637,5.0,10.057455
177,840,2013-07-24 15:32:15.140000,2745885,121.6017,23.8736,12.9662,5.818201,5.0,9.994705
178,840,2013-07-24 14:47:06.000000,2745782,121.5708,23.8859,13.0383,2.408637,4.89,9.889984
179,840,2013-06-28 23:51:49.519900,2812246,122.232,24.09,15.0,72.4355,5.7,9.611862
180,840,2013-06-28 23:51:50.899800,2812247,122.2532,23.996,25.4,72.215881,5.7,9.582081
181,840,2013-07-24 15:32:13.939800,2745883,121.587,23.873,10.0,4.579823,4.5,9.467305
182,840,2013-07-16 10:11:35.279900,2765481,121.52,24.255,10.3,39.874024,5.2,9.370567
183,840,2013-07-16 10:11:35.640000,2765482,121.5231,24.2753,8.9,42.102502,5.2,9.332399
184,840,2013-11-03 22:56:10.539900,2511291,121.5357,23.863,10.0,4.132914,4.4,9.331514
185,840,2013-07-24 15:32:15.140000,2745884,121.6017,23.8736,13.0,5.818201,4.5,9.242822
186,840,2013-07-24 15:41:12.880000,2745899,121.5763,23.8819,9.7,3.120049,4.3,9.233699
187,840,2013-07-16 10:11:35.640000,2765483,121.5231,24.2753,8.8728,42.102502,5.12,9.212512
188,840,2013-06-28 23:51:50.899800,2812248,122.2532,23.996,25.3966,72.215881,5.43,9.177093
189,840,2013-07-24 15:41:12.380000,2745898,121.5853,23.8687,10.65,4.75052,4.3,9.116493
190,840,2014-01-25 03:16:11.650000,2313504,121.5397,23.7917,13.4,11.819462,4.5,9.045856
191,840,2013-11-07 07:25:10.339900,2499513,121.6545,24.0556,12.1,20.494613,4.6,8.946847
192,840,2013-11-07 07:25:10.529900,2499515,121.6548,24.0296,16.28,18.094452,4.6,8.92735
193,840,2013-07-24 15:41:12.880000,2745900,121.5763,23.8819,9.743,3.120049,4.04,8.840216
194,840,2013-10-31 15:47:28.809900,2519284,121.4921,23.6174,6.4,31.714457,4.7,8.83015
195,840,2014-01-25 03:16:10.710000,2313503,121.5402,23.7096,9.68,20.922362,4.5,8.82454
196,840,2013-10-31 15:47:28.819900,2519286,121.4809,23.6207,10.0,31.591134,4.7,8.809398
197,840,2014-01-25 03:16:11.650000,2313505,121.5397,23.7917,13.4171,11.819462,4.29,8.730233
198,840,2013-11-03 03:43:13.970000,2509159,121.5065,23.6674,1.4,25.980983,4.5,8.71943
199,840,2013-11-03 03:43:14.210000,2509161,121.4925,23.6608,6.1,26.98109,4.5,8.666231
200,840,2013-10-31 15:47:28.809900,2519285,121.4921,23.6174,6.4014,31.714457,4.58,8.650143
201,840,2013-11-07 07:25:10.339900,2499514,121.6545,24.0556,12.1241,20.494613,4.34,8.556399
202,840,2013-11-03 22:56:14.130000,2511292,121.522,23.9213,26.2,3.94566,4.4,8.553658
203,840,2013-10-31 23:52:25.210000,2520285,121.4684,23.6783,10.0,25.776513,4.4,8.516663
204,840,2013-10-31 23:52:25.779900,2520286,121.4763,23.6892,16.8,24.371594,4.4,8.45739
205,840,2013-11-03 22:56:14.130000,2511293,121.522,23.9213,26.2193,3.94566,4.32,8.433032
206,840,2013-11-07 07:31:40.559900,2499528,121.6885,24.0543,13.7,22.353856,4.3,8.4128
207,840,2013-10-31 19:27:14.500000,2519804,121.4697,23.6678,17.3,26.842406,4.4,8.391483
208,840,2013-05-17 05:44:12.500000,2918262,121.754,24.258,16.1,45.081609,4.6,8.339868
209,840,2013-10-31 19:27:13.369800,2519803,121.4909,23.6184,12.19,31.628566,4.4,8.339694
210,840,2013-11-15 19:39:17.500000,2482197,122.4833,23.941,22.3,94.907641,5.0,8.322059
211,840,2013-11-15 19:39:18.349900,2482199,122.4651,24.0755,26.25,94.971077,5.0,8.312845
212,840,2013-11-07 07:31:40.839900,2499530,121.7273,24.066,14.74,25.933896,4.3,8.300691
213,840,2013-11-15 19:39:17.500000,2482198,122.4833,23.941,22.3111,94.907641,4.97,8.277037
214,840,2014-01-22 16:28:37.979800,2322346,121.4599,23.7177,22.3,22.028817,4.3,8.257641
215,840,2013-12-06 19:22:58.769900,2433856,122.4784,23.8035,15.4586,94.913789,4.93,8.228971
216,840,2014-01-22 16:28:37.189800,2322345,121.4437,23.7114,23.21,23.387489,4.3,8.214299
217,840,2013-10-31 16:05:18.809900,2519376,121.4484,23.5657,11.8,38.339625,4.4,8.193399
218,840,2014-01-14 16:44:27.079900,2343035,121.0089,23.8491,13.9,55.363314,4.6,8.187008
219,840,2013-12-18 05:29:35.299900,2407533,121.8398,24.1498,7.88,40.602124,4.4,8.166845
220,840,2013-12-18 05:29:35.479800,2407534,121.8113,24.1761,8.3,40.736718,4.4,8.162363
221,840,2013-05-21 04:25:46.839900,2907457,121.7845,24.2672,14.1,47.462701,4.5,8.160565
222,840,2013-05-21 04:25:46.200000,2907456,121.76,24.28,14.3,47.538182,4.5,8.158294
223,840,2013-10-31 23:52:25.779900,2520287,121.4763,23.6892,16.7605,24.371594,4.16,8.098047
224,840,2013-11-03 03:43:13.970000,2509160,121.5065,23.6674,1.391,25.980983,4.08,8.089446
225,840,2013-12-06 19:22:58.769900,2433855,122.4784,23.8035,15.5,94.913789,4.8,8.033911
226,840,2013-11-03 23:13:07.460000,2511334,121.497,23.9285,23.8,6.463818,4.0,8.015939
227,840,2013-08-18 14:57:00.759900,2685527,122.5154,23.9181,21.4,98.082572,4.8,7.996619
228,840,2014-01-14 16:44:27.190000,2343037,120.9914,23.8407,17.42,57.231956,4.5,7.996244
229,840,2013-05-21 04:25:46.839900,2907458,121.7845,24.2672,14.1469,47.462701,4.38,7.98033
230,840,2013-05-29 01:33:57.319900,2887524,122.3846,23.9299,15.8,84.832136,4.7,7.978069
231,840,2013-11-07 07:31:40.559900,2499529,121.6885,24.0543,13.6804,22.353856,3.99,7.948139
232,840,2013-05-29 01:33:58.979800,2887526,122.431,24.02,26.4,90.472061,4.7,7.901482
233,840,2013-05-15 22:19:13.329900,2924802,121.6946,24.0353,10.7,21.171874,3.9,7.899694
234,840,2013-10-31 16:05:06.809900,2519373,121.48,23.6761,13.0,25.651849,4.0,7.882485
235,840,2013-11-23 09:01:11.339900,2462348,121.9634,24.1616,26.0,51.168457,4.4,7.882249
236,840,2013-05-30 03:14:41.869800,2885474,121.6993,23.8904,46.9,15.118157,4.3,7.864721
237,840,2013-05-22 10:27:47.759900,2905297,121.6423,23.8504,14.0,10.677263,3.7,7.858633
238,840,2014-01-14 16:44:27.079900,2343036,121.0089,23.8491,13.8812,55.363314,4.37,7.842078
